IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
000001-01012023,44927,2023,0.0003125,0,Fire,Primary Fire,,Road Vehicle,Towing caravan (not on tow or on site),On land associated with building,UB2 4NE,UB2,12142108,20601925,E09000009,EALING,Ealing,E05013533,NORWOOD GREEN,NORWOOD GREEN,514670,179437,514650,179450,51.50224674,-0.349284038,London,Southall,378,Heston,509,Heston,3,4,4,3,1092,4
000002-01012023,44927,2023,0.002060185,0,False Alarm,AFA,,Non Residential,Pub/wine bar/bar ,Within same building,SW18 2PT,SW18,121008743,22905902,E09000032,WANDSWORTH,Wandsworth,E05014028,WANDSWORTH TOWN,WANDSWORTH TOWN,525689,174615,525650,174650,51.45657818,-0.192321904,London,Wandsworth,207,Wandsworth,,,1,1,1,1,364,1
000003-01012023,44927,2023,0.002094907,0,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,CR4,0,22102898,E09000024,MERTON,Merton,E05013815,GRAVENEY,GRAVENEY,,,528050,170250,,,London,Mitcham,424,Tooting,479,Tooting,1,2,2,1,364,1
000004-01012023,44927,2023,0.002997685,0,Fire,Secondary Fire,,Outdoor,Tree scrub ,On land associated with building,TW9 1PB,TW9,1.00022E+11,22406188,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05013786,SOUTH RICHMOND,SOUTH RICHMOND,517552,174947,517550,174950,51.46130688,-0.309263045,London,Richmond,295,Richmond,,,1,1,1,1,364,2
000005-01012023,44927,2023,0.003055556,0,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SW9,0,21901162,E09000022,LAMBETH,Lambeth,E05014096,BRIXTON NORTH,BRIXTON NORTH,,,531050,176250,,,London,Brixton,251,Brixton,,,1,1,1,2,728,1
000008-01012023,44927,2023,0.005428241,0,Special Service,Special Service,Other rescue/release of persons,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW18,0,22902216,E09000032,WANDSWORTH,Wandsworth,E05014028,WANDSWORTH TOWN,WANDSWORTH TOWN,,,525450,174650,,,London,Wandsworth,355,Battersea,,,1,1,1,1,364,1
000011-01012023,44927,2023,0.006493056,0,False Alarm,AFA,,Non Residential,Secondary school,Correct incident location,N12 7NJ,N12,200084180,20030910,E09000003,BARNET,Barnet,E05013648,WEST FINCHLEY,WEST FINCHLEY,526053,192187,526050,192150,51.61441174,-0.180792898,London,Finchley,264,Finchley,,,1,1,1,1,364,1
000013-01012023,44927,2023,0.007337963,0,Special Service,Special Service,No action (not false alarm),Outdoor,Road surface/pavement ,Open land/water - nearest gazetteer location,SE1 7PZ,SE1,1.00022E+11,21900793,E09000022,LAMBETH,Lambeth,E05014118,WATERLOO & SOUTH BANK,WATERLOO & SOUTH BANK,531192,179193,531150,179150,51.4964693,-0.111453975,London,Lambeth,580,Peckham,598,Clapham,2,2,2,2,728,2
000014-01012023,44927,2023,0.007569444,0,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,EN3,0,20702265,E09000010,ENFIELD,Enfield,E05013674,BRIMSDOWN,BRIMSDOWN,,,535450,198250,,,London,Enfield,178,Enfield,451,Edmonton,2,2,2,2,728,1
000015-01012023,44927,2023,0.007986111,0,Special Service,Special Service,Lift Release,Non Residential,Police station ,Correct incident location,N16 8DS,N16,10091819037,20900977,E09000012,HACKNEY,Hackney,E05009385,STOKE NEWINGTON,STOKE NEWINGTON,533557,186086,533550,186050,51.5578578,-0.0747923,London,Stoke Newington,,,,,1,1,1,1,364,1
000017-01012023,44927,2023,0.008356481,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,SW11 5DB,SW11,121039002,22901110,E09000032,WANDSWORTH,Wandsworth,E05014010,BATTERSEA PARK,BATTERSEA PARK,528170,176493,528150,176450,51.47289798,-0.15594183,London,Battersea,466,Chelsea,,,1,1,1,1,364,1
000018-01012023,44927,2023,0.008414352,0,False Alarm,False alarm - Good intent,,Non Residential,Church/Chapel ,Correct incident location,EN3 5QH,EN3,207148561,20702265,E09000010,ENFIELD,Enfield,E05013677,CARTERHATCH,CARTERHATCH,535338,198037,535350,198050,51.66482606,-0.044515746,London,Enfield,669,Tottenham,683,Tottenham,1,2,2,1,364,1
