toid,gml_version,versiondate,function,reasonforchange,functionstatus,functiontheme,perimeter,area,distinctivename1,distinctivename2,distinctivename3,distinctivename4,primaryaddressbaseuprn,stakeholder1,stakeholder2,stakeholder1role,stakeholder2role,extentdefinition,function_codespace,functiontheme_codespace
osgb4000000073551469,4,42635,Medical Care Accommodation,Attributes,Operational,Medical Care,164.3,1556.89,56 to 58,,,,1.00022E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328353,4,43580,Medical Care Accommodation,Modified,Operational,Medical Care,165.53,1544.18,16,,,,1.00061E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb5000000000000670,2,43071,Medical Care Accommodation,Modified,Operational,Medical Care,162.48,1247.44,75,,,,5870088570,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327440,3,42542,Medical Care Accommodation,Modified,Operational,Medical Care,308.07,3639.45,Clare House,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330499,4,42542,Hospital,Modified,Operational,Medical Care,117.45,660.34,The Western Eye Hospital,,,,,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331133,4,43228,Medical Care Accommodation,Modified,Operational,Medical Care,167.35,1575.08,Fort Horsted Nursing Home,,,,44035296,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073335007,3,42542,Medical Care Accommodation,Modified,Operational,Medical Care,123.74,864.8,,,,,2.00003E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073335102,4,42983,Medical Care Accommodation,Modified,Operational,Medical Care,191.63,2208.68,,,,,10003621371,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073335103,4,42983,Medical Care Accommodation,Modified,Operational,Medical Care,127.31,957.36,47,,,,1.0002E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb5000000000000218,2,43535,Medical Care Accommodation,Attributes,Operational,Medical Care,190.72,1856.62,Barrington Lodge,,,,1.00021E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331793,3,42542,Medical Care Accommodation,Modified,Operational,Medical Care,439.81,6961.31,Kentwood House Nursing Home,,,,2.00001E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327829,4,43001,Medical Care Accommodation,Modified,Operational,Medical Care,178.46,1815.83,Hamilton Nursing Home,,,,128011180,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327849,5,42903,Medical Care Accommodation,Modified,Operational,Medical Care,123.42,895.56,The Lodge Nursing Home,15,11,,128037355,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328299,4,43032,Medical Care Accommodation,Modified,Operational,Medical Care,195.02,2144.92,Hendford,,,,1.00061E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073334268,4,42542,Medical Care Accommodation,Modified,Operational,Medical Care,142.91,1170.54,Folkestone Nursing Home,,,,10034509666,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073334697,5,42830,Medical Care Accommodation,Attributes,Operational,Medical Care,254.93,2965.39,,,,,10012788541,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073551367,5,43868,Medical Care Accommodation,Modified,Operational,Medical Care,200.43,2332.45,28,,,,1.0002E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb5000000000000327,2,43035,Medical Care Accommodation,Attributes,Operational,Medical Care,204.27,1999.2,Waratah,,,,1.00021E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb5000000000000329,1,43000,Medical Care Accommodation,New,Operational,Medical Care,177.82,1622.24,,,,,,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327158,6,44000,Medical Care Accommodation,Modified,Operational,Medical Care,200.68,2412.6,158,Appletree Court Nursing Home,,,200140184,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327209,4,42542,Medical Care Accommodation,Modified,Operational,Medical Care,285.48,3998.05,Coplands Nursing Home,,,,202111736,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328312,6,43157,Medical Care Accommodation,Modified,Operational,Medical Care,278.55,4599.81,The Winscombe Nursing Home,,,,68136791,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328350,5,43580,Medical Care Accommodation,Modified,Operational,Medical Care,209.66,2134,,,,,1.00061E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073547677,4,42628,Medical Care Accommodation,Attributes,Operational,Medical Care,227.15,3314.26,Carlton Court,112,,,200149785,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073326112,4,42542,Hospital,Modified,Operational,Medical Care,406.91,8311.85,The Thames Valley Nuffield Hospital,,,,1.00081E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073326032,6,43782,Medical Care Accommodation,Modified,Operational,Medical Care,427.45,9087.75,Oak House,,,,10022916855,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073325912,7,44232,Hospital,Modified,Operational,Medical Care,1299.07,63866.04,Heatherwood Hospital,,,,2.00001E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073325951,5,43574,Medical Care Accommodation,Modified,Operational,Medical Care,302.78,3569.19,Larkland House,,,,1.00081E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073325969,7,44202,Hospital,Modified,Operational,Medical Care,2565.97,277823.37,St Peter's Hospital,,,,2.00004E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073325970,5,43593,Hospital,Modified,Operational,Medical Care,425.71,7497.43,The Runnymede Hospital,,,,1.00063E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073325989,4,43255,Medical Care Accommodation,Modified,Operational,Medical Care,826.55,26107.6,Merlewood,,,,2.00004E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073326012,9,44252,Hospital,Modified,Operational,Medical Care,2693.01,202240.21,Wexham Park Hospital,,,,2.00001E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073326023,5,44159,Hospital,Modified,Operational,Medical Care,802.29,29921.77,Upton Hospital,,,,1.00081E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
