Name,Latitude,Longitude,Type
Beckenham,51.408,-0.022,hospatial
Beckenham Beacon,51.405,-0.033,hospatial
Bethlem Royal Hospital,51.3809,-0.0306,hospatial
Bloomsbury,51.5262,-0.1178,hospatial
Bromley,51.407,0.021,hospatial
Camberwell,51.4736,-0.0912,hospatial
Central Middlesex Hospital,51.519,-0.1377,hospatial
Charing Cross Hospital,51.4871,-0.2195,hospatial
"Chelsea, London",51.4875,-0.1684,hospatial
Chelsea and Westminster Hospital,51.484,-0.182,hospatial
Chipping Barnet,51.6444,-0.1997,hospatial
City of Westminster,51.51222222,-0.16333333,hospatial
Coppetts Wood Hospital,51.602,-0.1539,hospatial
Cromwell Hospital,51.4949,-0.1914,hospatial
Croydon University Hospital,51.39,-0.11,hospatial
Dartford,51.44,0.22,hospatial
Ealing Hospital,51.50694444,-0.34555556,hospatial
"Edmonton, London",51.6154,-0.0708,hospatial
England,51.5,-0.11666667,hospatial
Evelina London Children's Hospital,51.49805556,-0.11833333,hospatial
Fitzrovia,51.518,-0.136,hospatial
Gray's Inn Road,51.52376,-0.11545,hospatial
Great Ormond Street Hospital,51.5225,-0.1205,hospatial
Grovelands Park,51.63277778,-0.11527778,hospatial
Guy's Hospital,51.50333333,-0.08694444,hospatial
Hammersmith,51.4928,-0.2229,hospatial
Hammersmith Hospital,51.5163,-0.2369,hospatial
Hampstead,51.5541,-0.1744,hospatial
Harringay,51.5819,-0.0994,hospatial
Havering,51.55,0.21666667,hospatial
Highgate,51.5716,-0.1448,hospatial
Homerton,51.55212,-0.04704,hospatial
Homerton University Hospital,51.5504,-0.0483,hospatial
Hospital of St John and St Elizabeth,51.53277778,-0.17416667,hospatial
Isleworth,51.466,-0.336,hospatial
King's College Hospital,51.468,-0.0938,hospatial
King Edward VII's Hospital,51.52091667,-0.15041667,hospatial
"King George Hospital, London",51.5805,0.112,hospatial
Kingston Hospital,51.4145,-0.2816,hospatial
Kingston upon Thames,51.4103,-0.2995,hospatial
Lambeth,51.4903,-0.1193,hospatial
Lambeth Hospital,51.4666,-0.1231,hospatial
Lewisham,51.461,-0.005,hospatial
Leytonstone,51.569,0.01,hospatial
London,51.50722222,-0.1275,hospatial
London Borough of Brent,51.56611111,-0.27388889,hospatial
London Borough of Camden,51.53333333,-0.16666667,hospatial
London Borough of Hammersmith and Fulham,51.5,-0.25,hospatial
London Borough of Islington,51.53333333,-0.13333333,hospatial
London Borough of Redbridge,51.56666667,0.08333333,hospatial
London Borough of Tower Hamlets,51.51666667,-0.05,hospatial
London Bridge Hospital,51.5064,-0.0859,hospatial
Marylebone,51.5177,-0.147,hospatial
Maudsley Hospital,51.46888889,-0.09111111,hospatial
"Memorial Hospital, Woolwich",51.4689,0.0654,hospatial
Mile End Hospital,51.5248,-0.04304,hospatial
Mitcham,51.4009,-0.1517,hospatial
Moorfields Eye Hospital,51.52722222,-0.09,hospatial
Mount Vernon Hospital,51.6168,-0.4447,hospatial
Muswell Hill,51.592,-0.143,hospatial
National Hospital for Neurology and Neurosurgery,51.52222222,-0.12194444,hospatial
Newham University Hospital,51.523,0.0361,hospatial
Nightingale Hospital (Marylebone),51.5218,-0.1652,hospatial
North Middlesex University Hospital,51.6145,0.07379,hospatial
Northwick Park Hospital,51.576,-0.322,hospatial
Orpington,51.3741,0.0986,hospatial
Paddington,51.5172,-0.173,hospatial
Park Royal,51.529088,-0.281267,hospatial
Pimlico,51.4887,-0.1395,hospatial
"Plaistow, Newham",51.5243,0.0245,hospatial
Portland Hospital,51.5227,-0.1436,hospatial
Priory Hospital,51.46265,-0.25204,hospatial
